hs16 151    175 0.014
hs16 176    200 0.014
hs16 201    225 0.041
hs16 226    250 0.055
hs16 251    275 0.083
hs16 276    300 0.083
hs16 301    325 0.111
hs16 326    350 0.083
hs16 351    375 0.055
hs16 501    525 0.028
hs16 526    550 0.055
hs16 551    575 0.055
hs16 626    650 0.028
hs16 1126   1150 0.014
hs16 1151   1175 0.014
hs16 1176   1200 0.014
hs16 1426   1450 0.009
hs16 1451   1475 0.014
hs16 1476   1500 0.014
hs16 1501   1525 0.005
hs16 1901   1925 0.007
hs16 1926   1950 0.007
hs16 1951   1975 0.007
hs16 2876   2900 0.028
hs16 2901   2925 0.028
hs16 2926   2950 0.028
hs16 3076   3100 0.004
hs16 3101   3125 0.004
hs16 3126   3150 0.004
hs16 3501   3525 0.005
hs16 3526   3550 0.005
hs16 3551   3575 0.005
hs16 3626   3650 0.007
hs16 3651   3675 0.007
hs16 3676   3700 0.007
hs16 3851   3875 0.014
hs16 3876   3900 0.018
hs16 3901   3925 0.013
hs16 3926   3950 0.005
hs16 3976   4000 0.005
hs16 4001   4025 0.013
hs16 4026   4050 0.013
hs16 4051   4075 0.005
hs16 4076   4100 0.005
hs16 4101   4125 0.121
hs16 4126   4150 0.781
hs16 4151   4175 1.006
hs16 4176   4200 1.048
hs16 4201   4225 0.472
hs16 4226   4250 0.38
hs16 4251   4275 0.564
hs16 4276   4300 0.689
hs16 4301   4325 0.547
hs16 4326   4350 0.213
hs16 4401   4425 0.055
hs16 4426   4450 0.071
hs16 4451   4475 0.096
hs16 4476   4500 0.071
hs16 4501   4525 0.063
hs16 4526   4550 0.021
hs16 4551   4575 0.063
hs16 4576   4600 0.147
hs16 4601   4625 0.188
hs16 4626   4650 0.23
hs16 4651   4675 0.188
hs16 4676   4700 0.138
hs16 4701   4725 0.113
hs16 4726   4750 0.08
hs16 4751   4775 0.08
hs16 4776   4800 0.046
hs16 4801   4825 0.055
hs16 4826   4850 0.055
hs16 4851   4875 0.03
hs16 4876   4900 0.013
hs16 4901   4925 0.005
hs16 4926   4950 0.039
hs16 4951   4975 0.065
hs16 4976   5000 0.069
hs16 5001   5025 0.069
hs16 5026   5050 0.083
hs16 5051   5075 0.081
hs16 5076   5100 0.077
hs16 5101   5125 0.063
hs16 5126   5150 0.081
hs16 5151   5175 0.093
hs16 5176   5200 0.075
hs16 5201   5225 0.065
hs16 5226   5250 0.027
hs16 5251   5275 0.051
hs16 5276   5300 0.051
hs16 5301   5325 0.087
hs16 5326   5350 0.055
hs16 5351   5375 0.105
hs16 5376   5400 0.069
hs16 5401   5425 0.069
hs16 5476   5500 0.009
hs16 5501   5525 0.073
hs16 5526   5550 0.183
hs16 5551   5575 0.243
hs16 5576   5600 0.207
hs16 5601   5625 0.095
