hs16 151    175 0.015
hs16 176    200 0.015
hs16 201    225 0.015
hs16 226    250 0.059
hs16 251    275 0.118
hs16 276    300 0.118
hs16 301    325 0.118
hs16 326    350 0.059
hs16 351    375 0.088
hs16 376    400 0.059
hs16 401    425 0.088
hs16 426    450 0.059
hs16 451    475 0.029
hs16 1101   1125 0.029
hs16 1126   1150 0.029
hs16 1151   1175 0.037
hs16 1176   1200 0.019
hs16 1201   1225 0.025
hs16 1226   1250 0.017
hs16 1251   1275 0.035
hs16 1276   1300 0.039
hs16 1301   1325 0.057
hs16 1326   1350 0.027
hs16 1351   1375 0.017
hs16 1401   1425 0.031
hs16 1426   1450 0.051
hs16 1451   1475 0.076
hs16 1476   1500 0.044
hs16 1501   1525 0.024
hs16 1701   1725 0.008
hs16 1726   1750 0.034
hs16 1751   1775 0.05
hs16 1776   1800 0.055
hs16 1801   1825 0.029
hs16 1826   1850 0.012
hs16 2076   2100 0.029
hs16 2101   2125 0.044
hs16 2126   2150 0.074
hs16 2151   2175 0.044
hs16 2176   2200 0.029
hs16 2351   2375 0.014
hs16 2376   2400 0.014
hs16 2401   2425 0.014
hs16 2501   2525 0.009
hs16 2526   2550 0.078
hs16 2551   2575 0.187
hs16 2576   2600 0.177
hs16 2601   2625 0.108
hs16 2626   2650 0.009
hs16 2651   2675 0.019
hs16 2676   2700 0.019
hs16 2701   2725 0.009
hs16 2826   2850 0.049
hs16 2851   2875 0.049
hs16 2876   2900 0.049
hs16 2926   2950 0.021
hs16 2951   2975 0.021
hs16 2976   3000 0.021
hs16 3051   3075 0.011
hs16 3076   3100 0.037
hs16 3101   3125 0.037
hs16 3126   3150 0.024
hs16 3201   3225 0.007
hs16 3226   3250 0.005
hs16 3251   3275 0.005
hs16 3476   3500 0.005
hs16 3501   3525 0.061
hs16 3526   3550 0.061
hs16 3551   3575 0.047
hs16 3601   3625 0.019
hs16 3626   3650 0.033
hs16 3651   3675 0.047
hs16 3676   3700 0.019
hs16 3701   3725 0.019
hs16 3726   3750 0.005
hs16 3751   3775 0.005
hs16 3776   3800 0.005
hs16 3801   3825 0.019
hs16 3826   3850 0.047
hs16 3851   3875 0.075
hs16 3876   3900 0.075
hs16 3901   3925 0.033
hs16 3926   3950 0.005
hs16 3951   3975 0.019
hs16 3976   4000 0.033
hs16 4001   4025 0.061
hs16 4026   4050 0.061
hs16 4051   4075 0.061
hs16 4076   4100 0.075
hs16 4101   4125 0.201
hs16 4126   4150 1.291
hs16 4151   4175 1.654
hs16 4176   4200 1.738
hs16 4201   4225 0.857
hs16 4226   4250 0.662
hs16 4251   4275 0.746
hs16 4276   4300 0.793
hs16 4301   4325 0.563
hs16 4326   4350 0.26
hs16 4401   4425 0.023
hs16 4426   4450 0.023
hs16 4451   4475 0.037
hs16 4476   4500 0.01
hs16 4501   4525 0.023
hs16 4526   4550 0.037
hs16 4551   4575 0.071
hs16 4576   4600 0.104
hs16 4601   4625 0.098
hs16 4626   4650 0.077
hs16 4651   4675 0.104
hs16 4676   4700 0.131
hs16 4701   4725 0.28
hs16 4726   4750 0.212
hs16 4751   4775 0.179
hs16 4776   4800 0.037
hs16 4801   4825 0.044
hs16 4826   4850 0.057
hs16 4851   4875 0.023
hs16 4876   4900 0.023
hs16 4901   4925 0.01
hs16 4926   4950 0.037
hs16 4951   4975 0.044
hs16 4976   5000 0.071
hs16 5001   5025 0.071
hs16 5026   5050 0.098
hs16 5051   5075 0.084
hs16 5076   5100 0.111
hs16 5101   5125 0.071
hs16 5126   5150 0.104
hs16 5151   5175 0.118
hs16 5176   5200 0.131
hs16 5201   5225 0.098
hs16 5226   5250 0.03
hs16 5251   5275 0.037
hs16 5276   5300 0.077
hs16 5301   5325 0.088
hs16 5326   5350 0.088
hs16 5351   5375 0.037
hs16 5376   5400 0.027
hs16 5476   5500 0.009
hs16 5501   5525 0.066
hs16 5526   5550 0.319
hs16 5551   5575 0.453
hs16 5576   5600 0.392
hs16 5601   5625 0.142
hs16 5626   5650 0.019
hs16 5651   5675 0.074
hs16 5676   5700 0.215
hs16 5701   5725 0.312
hs16 5726   5750 0.352
hs16 5751   5775 0.243
hs16 5776   5800 0.287
hs16 5801   5825 0.309
hs16 5826   5850 0.366
hs16 5851   5875 0.276
hs16 5876   5900 0.276
hs16 5901   5925 0.215
hs16 5926   5950 0.225
hs16 5951   5975 0.236
hs16 5976   6000 0.276
hs16 6001   6025 0.294
hs16 6026   6050 0.207
hs16 6051   6075 0.222
hs16 6076   6100 0.178
hs16 6101   6125 0.193
hs16 6126   6150 0.149
hs16 6151   6175 0.193
hs16 6176   6200 0.182
hs16 6201   6225 0.189
hs16 6226   6250 0.103
hs16 6251   6275 0.063
hs16 6276   6300 0.019
hs16 6326   6350 0.132
hs16 6351   6375 0.196
hs16 6376   6400 0.196
hs16 6401   6425 0.068
hs16 6426   6450 0.004
hs16 6451   6475 0.004
hs16 6501   6525 0.004
hs16 6526   6550 0.004
hs16 6551   6575 0.132
hs16 6576   6600 0.355
hs16 6601   6625 0.929
hs16 6626   6650 2.652
hs16 6651   6675 3.864
hs16 6676   6700 3.769
hs16 6701   6725 1.95
hs16 6726   6750 0.578
hs16 6751   6775 0.132
hs16 6776   6800 0.1
hs16 6801   6825 0.1
hs16 6826   6850 0.068
hs16 6851   6875 0.068
hs16 6876   6900 0.004
hs16 6901   6925 0.004
hs16 6926   6950 0.196
hs16 6951   6975 0.61
hs16 6976   7000 0.897
hs16 7001   7025 0.77
hs16 7026   7050 0.61
hs16 7051   7075 0.387
hs16 7076   7100 0.419
hs16 7101   7125 0.259
hs16 7126   7150 0.259
hs16 7151   7175 0.355
hs16 7176   7200 0.451
hs16 7201   7225 0.387
hs16 7226   7250 0.196
hs16 7251   7275 0.068
hs16 7276   7300 0.068
hs16 7301   7325 0.291
hs16 7326   7350 0.379
hs16 7351   7375 0.347
hs16 7376   7400 0.106
hs16 7401   7425 0.004
hs16 7426   7450 0.011
hs16 7451   7475 0.017
hs16 7476   7500 0.017
hs16 7501   7525 0.036
hs16 7526   7550 0.023
hs16 7551   7575 0.023
hs16 7651   7675 0.004
hs16 7676   7700 0.08
hs16 7701   7725 0.138
hs16 7726   7750 0.144
hs16 7751   7775 0.036
hs16 7776   7800 0.093
hs16 7801   7825 0.144
hs16 7826   7850 0.252
hs16 7851   7875 0.163
hs16 7876   7900 0.106
hs16 7926   7950 0.011
hs16 7951   7975 0.074
hs16 7976   8000 0.627
hs16 8001   8025 0.735
hs16 8026   8050 0.798
hs16 8051   8075 0.29
hs16 8076   8100 0.169
hs16 8101   8125 0.061
hs16 8126   8150 0.023
hs16 8151   8175 0.023
hs16 8176   8200 0.023
hs16 8201   8225 0.061
hs16 8226   8250 0.106
hs16 8251   8275 0.099
hs16 8276   8300 0.061
hs16 8301   8325 0.03
hs16 8326   8350 0.215
hs16 8351   8375 0.285
hs16 8376   8400 0.338
hs16 8401   8425 0.162
hs16 8426   8450 0.1
hs16 8451   8475 0.039
hs16 8476   8500 0.039
hs16 8501   8525 0.039
hs16 8526   8550 0.03
hs16 8551   8575 0.021
hs16 8576   8600 0.048
hs16 8601   8625 0.092
hs16 8626   8650 0.276
hs16 8651   8675 0.531
hs16 8676   8700 0.866
hs16 8701   8725 0.962
hs16 8726   8750 0.866
hs16 8751   8775 0.76
hs16 8776   8800 0.927
hs16 8801   8825 1.05
hs16 8826   8850 0.848
hs16 8851   8875 0.417
hs16 8876   8900 0.118
hs16 8901   8925 0.039
hs16 8926   8950 0.021
hs16 8951   8975 0.039
hs16 8976   9000 0.109
hs16 9001   9025 0.171
hs16 9026   9050 0.347
hs16 9051   9075 0.312
hs16 9076   9100 0.32
hs16 9101   9125 0.32
hs16 9126   9150 0.285
hs16 9151   9175 0.224
hs16 9176   9200 0.012
hs16 9201   9225 0.162
hs16 9226   9250 0.25
hs16 9251   9275 0.276
hs16 9276   9300 0.153
hs16 9301   9325 0.074
hs16 9326   9350 0.056
hs16 9351   9375 0.015
hs16 9376   9400 0.057
hs16 9401   9425 0.145
hs16 9426   9450 0.239
hs16 9451   9475 0.301
hs16 9476   9500 0.232
hs16 9501   9525 0.138
hs16 9526   9550 0.015
hs16 10651  10675 0.006
hs16 10676  10700 0.006
hs16 10701  10725 0.006
hs16 12326  12350 0.01
hs16 12351  12375 0.01
hs16 12376  12400 0.01
hs16 12951  12975 0.118
hs16 12976  13000 0.137
hs16 13001  13025 0.197
hs16 13026  13050 0.088
hs16 13051  13075 0.069
hs16 13076  13100 0.01
hs16 13151  13175 0.01
hs16 13176  13200 0.01
hs16 13201  13225 0.01
hs16 13226  13250 0.01
hs16 13251  13275 0.019
hs16 13276  13300 0.039
hs16 13301  13325 0.029
hs16 13326  13350 0.029
hs16 13351  13375 0.01
hs16 13376  13400 0.01
hs16 13451  13475 0.01
hs16 13476  13500 0.019
hs16 13501  13525 0.019
hs16 13526  13550 0.01
hs16 13651  13675 0.019
hs16 13676  13700 0.019
hs16 13701  13725 0.019
hs16 13726  13750 0.01
hs16 13751  13775 0.01
hs16 13776  13800 0.01
hs16 13901  13925 0.029
hs16 13926  13950 0.029
hs16 13951  13975 0.039
hs16 13976  14000 0.019
hs16 14001  14025 0.019
hs16 14026  14050 0.01
